tid,cluster,title,imdbRating,ratingCount,year,nrOfWins,nrOfNominations,nrOfUserReviews,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
tt0088763,6,Zurück in die Zukunft (1985),8.5,478445,1985,13,24,680,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0089881,1,Ran (1985),8.3,58697,1985,28,18,220,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0090605,6,Aliens - Die Rückkehr (1986),8.5,353899,1986,16,21,998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0091763,6,Platoon (1986),8.2,217699,1986,22,10,476,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0092005,9,Stand by Me - Das Geheimnis eines Sommers (1986),8.2,198139,1986,3,10,536,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0092067,9,Das Schloss im Himmel (1986),8.1,61387,1986,1,0,152,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0093058,6,Full Metal Jacket (1987),8.4,334586,1987,7,7,621,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0093779,9,Die Braut des Prinzen (1987),8.2,222749,1987,5,8,662,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0095016,6,Stirb langsam (1988),8.3,431906,1988,6,2,667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0095327,1,Die letzten Leuchtkäfer (1988),8.5,85046,1988,3,0,436,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0095765,1,Cinema Paradiso (1988),8.5,103093,1988,19,22,357,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0096283,1,Mein Nachbar Totoro (1988),8.3,101445,1988,5,1,273,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0097576,9,Indiana Jones und der letzte Kreuzzug (1989),8.3,364585,1989,4,19,440,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0099685,6,GoodFellas - Drei Jahrzehnte in der Mafia (1990),8.8,515242,1990,40,23,883,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0101414,1,Die Schöne und das Biest (1991),8.1,208331,1991,21,19,310,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0102926,6,Das Schweigen der Lämmer (1991),8.6,584102,1991,44,30,798,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0103064,6,Terminator 2 - Tag der Abrechnung (1991),8.5,523543,1991,20,19,869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
tt0105236,6,Reservoir Dogs - Wilde Hunde (1992),8.4,454684,1992,11,9,855,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0105695,6,Erbarmungslos (1992),8.3,205938,1992,40,20,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0107048,6,...und täglich grü_t das Murmeltier (1993),8.1,309177,1993,6,7,542,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0107207,7,Im Namen des Vaters (1993),8.2,74591,1993,9,15,139,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0108052,6,Schindlers Liste (1993),8.9,599579,1993,70,25,1095,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0109830,6,Forrest Gump (1994),8.8,799314,1994,38,46,1133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0110357,6,Der König der Löwen (1994),8.5,408078,1994,25,22,542,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0110413,6,Léon - Der Profi (1994),8.6,501117,1994,3,8,754,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0110912,6,Pulp Fiction (1994),9,911042,1994,62,46,1818,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0111161,6,Die Verurteilten (1994),9.3,1183395,1994,15,15,3046,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0111495,3,Drei Farben - Rot (1994),8.1,47730,1994,18,15,116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
tt0112471,3,Before Sunrise - Zwischenstopp in Wien (1995),8.1,119333,1995,1,2,351,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
