id,rank,star_name
nm0001136,564,Bruce Dern
nm0001364,565,Bob Hoskins
nm0000249,566,James Woods
nm0370035,567,John Hawkes
nm0001258,568,James Garner
nm0001832,569,Sam Waterston
nm0001371,570,Tom Hulce
nm0001215,571,Albert Finney
nm0002018,572,Tom Conti
nm0183822,573,Tom Courtenay
nm0001545,574,Dudley Moore
nm0000457,575,John Hurt
nm0993507,576,Kat Dennings
nm1231899,577,Priyanka Chopra
nm0728938,578,Emmanuelle Riva
nm1950086,579,Greta Gerwig
nm0488953,580,Brie Larson
nm1140300,581,Jessica Lucas
nm0266029,582,Maria Falconetti
nm0002093,583,Greer Garson
nm0751426,584,Rosalind Russell
nm0000079,585,Raquel Welch
nm0000400,586,Linda Fiorentino
nm2829737,587,Gabourey Sidibe
nm0001114,588,Judy Davis
nm0001201,589,Mia Farrow
nm0851582,590,Audrey Tautou
nm0603402,591,Jeanne Moreau
nm0943837,592,Jane Wyman
nm0001687,593,Gena Rowlands
nm0544334,594,Lesley Manville
nm0647634,595,Elizabeth Olsen
nm0000176,596,Nastassja Kinski
nm0491259,597,Mélanie Laurent
nm0001365,598,Whitney Houston
nm0005031,599,Felicity Huffman
nm0001767,600,Imelda Staunton
nm1209966,601,Oscar Isaac
nm1417647,602,Jon Heder
nm1886602,603,Miles Teller
nm0117709,604,Daniel Brühl
nm0001254,605,James Gandolfini
nm0430107,606,Michael B. Jordan
nm0000578,607,Anthony Perkins
nm0000667,608,David Thewlis
nm0001428,609,Klaus Kinski
nm0000532,610,Malcolm McDowell
nm0935653,611,Ray Winstone
nm0000901,612,Jean-Paul Belmondo
nm0785227,613,Andy Serkis
nm0000111,614,Matthew Broderick
nm0000454,615,Dennis Hopper
nm0740264,616,Michael Rooker
nm0001252,617,Vincent Gallo
nm0000228,618,Kevin Spacey
nm0001993,619,Vincent Cassel
nm0799777,620,J.K. Simmons
nm0000472,621,Boris Karloff
nm0000048,622,Peter Lorre
nm0000190,623,Matthew McConaughey
nm0175916,624,Paddy Considine
nm0000202,625,Ryan Phillippe
nm0913488,626,Kerry Washington
nm0005251,627,Carrie-Anne Moss
nm0001463,628,Janet Leigh
nm1503432,629,Catalina Sandino Moreno
nm0608090,630,Samantha Morton
nm1095720,631,Keisha Castle-Hughes
nm0001766,632,Barbara Stanwyck
nm0000260,633,Joan Allen
nm0005216,634,Janet McTeer
nm0005244,635,Fernanda Montenegro
nm0000218,636,Kristin Scott Thomas
nm0000950,637,Brenda Blethyn
nm0000223,638,Elisabeth Shue
nm0001669,639,Miranda Richardson
nm0000330,640,Stockard Channing
nm0707023,641,Luise Rainer
nm0001521,642,Mary McDonnell
nm0000840,643,Lucille Ball
nm0000368,644,Laura Dern
nm0172604,645,Pauline Collins
nm0000254,646,Isabelle Adjani
nm0000429,647,Melanie Griffith
nm0000476,648,Sally Kirkland
nm0000737,649,Jane Alexander
nm0556850,650,Marsha Mason
nm0383603,651,Freddie Highmore
nm0000150,652,Michael J. Fox
nm0000237,653,John Travolta
nm0000334,654,Yun-Fat Chow
nm0532235,655,Seth MacFarlane
nm0001472,656,Jet Li
nm0002144,657,John Houseman
nm0001569,658,Chuck Norris
nm0000241,659,Jean-Claude Van Damme
nm0005377,660,Sam Rockwell
nm0793766,661,Takashi Shimura
nm0001290,662,Richard E. Grant
nm0000558,663,Leslie Nielsen
nm0670408,664,Simon Pegg
nm0000518,665,John Malkovich
nm0788335,666,Michael Shannon
nm0000640,667,Martin Sheen
nm0001302,668,Christopher Guest
nm0000614,669,Alan Rickman
nm0355097,670,Jackie Earle Haley
nm0949574,671,Gig Young
nm0000652,672,James Spader
nm0051509,673,Eric Bana
nm0244151,674,Romain Duris
nm0001727,675,Robert Shaw
nm0915865,676,Jacki Weaver
nm0067367,677,Bérénice Bejo
nm2794962,678,Hailee Steinfeld
nm0000492,679,Jennifer Jason Leigh
nm0000599,680,Kathleen Quinlan
nm0378245,681,Taraji P. Henson
nm0752407,682,Amy Ryan
nm0002039,683,Ruby Dee
nm0001049,684,Jill Clayburgh
nm0056770,685,Adriana Barraza
nm0452860,686,Rinko Kikuchi
nm0001416,687,Catherine Keener
nm0001648,688,Charlotte Rampling
nm0645683,689,Sophie Okonedo
nm0165101,690,Patricia Clarkson
nm0013037,691,Shohreh Aghdashloo
nm0517820,692,Lindsay Lohan
nm0005502,693,Michelle Trachtenberg
nm0001721,694,Chloë Sevigny
nm0001655,695,Lynn Redgrave
nm0341737,696,Rachel Griffiths
nm3053338,697,Margot Robbie
nm0000666,698,Lili Taylor
nm0917848,699,Robin Weigert
nm1128572,700,Lake Bell
nm0001647,701,Claude Rains
nm0000114,702,Steve Buscemi
nm0722636,703,John Rhys-Davies
nm0004462,704,Jean-Louis Trintignant
nm0001072,705,Joseph Cotten
nm0001608,706,Barry Pepper
nm0002233,707,Erich von Stroheim
nm0933940,708,Patrick Wilson
nm0000502,709,Christopher Lloyd
nm0004936,710,Ben Foster
nm0566948,711,Joel McCrea
nm0158856,712,Min-sik Choi
nm0000191,713,Ewan McGregor
nm0305558,714,Gael García Bernal
nm0004486,715,Bruno Ganz
nm0000276,716,Sean Astin
nm0451234,717,Irrfan Khan
nm0355910,718,Michael C. Hall
nm0001702,719,Roy Scheider
nm0000729,720,Casey Affleck
nm0000997,721,Gary Busey
nm0005342,722,Norman Reedus
nm0001099,723,Jeff Daniels
nm0001804,724,Stanley Tucci
nm0000662,725,Kiefer Sutherland
nm2244205,726,Léa Seydoux
nm0424848,727,Dakota Johnson
nm0000365,728,Julie Delpy
nm0000157,729,Linda Hamilton
nm0000402,730,Carrie Fisher
nm0000427,731,Pam Grier
nm0001951,732,Björk
nm0115161,733,Emily Browning
nm0000496,734,Juliette Lewis
nm0000572,735,Sarah Jessica Parker
nm0001453,736,Piper Laurie
nm1415323,737,Miley Cyrus
nm0005499,738,Lily Tomlin
nm0295484,739,Anna Friel
nm0001784,740,Gloria Stuart
nm0001735,741,Talia Shire
nm2933757,742,Gal Gadot
nm0528987,743,Sue Lyon
nm0000556,744,Olivia Newton-John
nm0000378,745,Minnie Driver
nm0000414,746,Teri Garr
nm0005392,747,Keri Russell
nm0781029,748,Jean Seberg
nm0001631,749,Sarah Polley
nm0001009,750,Kate Capshaw
nm0000982,751,Josh Brolin
nm0001358,752,Hal Holbrook
